Day	control	control	control	control	control	control	control	control	control	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA_BES	AA_BES	AA_BES	AA_BES	AA_BES	AA_BES	AA_BES	AA_BES	AA_BES	BES	BES	BES	BES	BES	BES	BES	BES	BES	AA_Ab	AA_Ab	AA_Ab	AA_Ab	AA_Ab	AA_Ab	AA_Ab	AA_Ab	AA_Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab
0	0.0214	0.0165	0.0216	0.0285	0.0189	0.0273	0.012	0.0095	0.018	0.0193	0.0192	0.02	0.0271	0.0223	0.0257	0.0177	0.0191	0.017	0.0217	0.0215	0.0227	0.0182	0.0202	0.0209	0.0202	0.0185	0.0189	0.0244	0.0275	0.0251	0.0128	0.0107	0.0028	0.0127	0.0101	0.0097	0.0143	0.0069	0.0066	0.0161	0.0101	0.0136	0.016	0.008	0.0096	0.0235	0.0185	0.0194	0.0279	0.0281	0.0277	0.0244	0.0259	0.0253
2	0.0445	0.0441	0.0441	0.0628	0.0604	0.0632	0.0671	0.0652	0.0647	0.0583	0.0572	0.0531	0.0831	0.0676	0.0731	0.0489	0.0506	0.0484	0.0428	0.0454	0.0458	0.0576	0.0549	0.0571	0.0659	0.0391	0.0354	0.0459	0.047	0.0446	0.0439	0.0446	0.0447	0.037	0.0415	0.0368	0.0362	0.0845	0.0483	0.0419	0.0403	0.0362	0.0508	0.0317	0.0385	0.003	0.0014	0.0071	0.0104	0.0059	0.0089	0.0012	-0.0018	-0.0008
4	0.1999	0.1852	0.1884	0.2073	0.2143	0.2154	0.1539	0.157	0.1601	0.131	0.1328	0.1295	0.1338	0.1328	0.1333	0.135	0.1304	0.128	0.0318	0.0293	0.0325	0.0397	0.0403	0.0471	0.0378	0.0357	0.0377	0.0481	0.0473	0.0476	0.0446	0.044	0.0434	0.0401	0.0402	0.0368	0.074	0.0742	0.076	0.0863	0.0871	0.0918	0.0289	0.0339	0.0306	-0.0071	-0.0091	-0.0074	-0.0096	-0.0121	-0.0128	-0.0113	-0.0128	-0.0091
7	0.1693666667	0.1702666667	0.1723666667	0.2115666667	0.2196666667	0.2246666667	0.2044666667	0.2017666667	0.2092666667	0.1832666667	0.1891666667	0.1829666667	0.1907666667	0.1669666667	0.1979666667	0.1895666667	0.1890666667	0.1892666667	0.04166666667	0.04176666667	0.04276666667	0.05246666667	0.05306666667	0.05076666667	0.04956666667	0.04696666667	0.04846666667	0.05156666667	0.05116666667	0.04966666667	0.04846666667	0.05126666667	0.04856666667	0.04576666667	0.04556666667	0.04546666667	0.1535666667	0.1578666667	0.1615666667	0.1624666667	0.1645666667	0.1621666667	0.1228666667	0.1227666667	0.1255666667	-0.001933333333	-0.001233333333	-0.0007333333333	0.03066666667	-0.001133333333	-0.0002333333333	-0.001233333333	-0.002233333333	-0.0008333333333
9	0.1924666667	0.2067666667	0.2030666667	0.2612666667	0.2612666667	0.2597666667	0.2260666667	0.2500666667	0.2444666667	0.2001666667	0.2124666667	0.2155666667	0.2338666667	0.2311666667	0.2074666667	0.2230666667	0.2241666667	0.2196666667	0.04016666667	0.04376666667	0.04036666667	0.04726666667	0.04496666667	0.04476666667	0.04276666667	0.04066666667	0.04306666667	0.05186666667	0.04926666667	0.04916666667	0.04516666667	0.04716666667	0.04426666667	0.04386666667	0.04466666667	0.04426666667	0.1810666667	0.1960666667	0.1979666667	0.1962666667	0.1945666667	0.1976666667	0.1723666667	0.1640666667	0.1732666667	-0.001233333333	-0.0006333333333	0.00006666666667	-0.001633333333	-0.002733333333	-0.002633333333	-0.001133333333	-0.001433333333	-0.0005333333333
12	0.2751666667	0.2729666667	0.3312666667	0.3079666667	0.3284666667	0.3480666667	0.3820666667	0.2951666667	0.3267666667	0.3188666667	0.3585666667	0.3199666667	0.3066666667	0.3284666667	0.3267666667	0.2986666667	0.3066666667	0.2969666667	0.03376666667	0.03796666667	0.04266666667	0.04596666667	0.04396666667	0.04156666667	0.03606666667	0.03856666667	0.03756666667	0.05036666667	0.04986666667	0.04886666667	0.04436666667	0.04646666667	0.04276666667	0.03986666667	0.03886666667	0.03916666667	0.2883666667	0.3011666667	0.2107666667	0.3085666667	0.2984666667	0.2915666667	0.2810666667	0.2887666667	0.2736666667	-0.005233333333	-0.005033333333	-0.004633333333	-0.003933333333	-0.003033333333	-0.003533333333	-0.003633333333	-0.005133333333	-0.006833333333
14	0.2986666667	0.3467666667	0.3418666667	0.4003666667	0.3838666667	0.4049666667	0.3939666667	0.3965666667	0.3873666667	0.3287666667	0.3487666667	0.3504666667	0.4510666667	0.4187666667	0.4299666667	0.3805666667	0.3549666667	0.3474666667	0.03376666667	0.03796666667	0.04266666667	0.04596666667	0.04396666667	0.04156666667	0.03606666667	0.03856666667	0.03756666667	0.05036666667	0.04986666667	0.04886666667	0.04436666667	0.04646666667	0.04276666667	0.03986666667	0.03886666667	0.03916666667	0.3505666667	0.3537666667	0.3481666667	0.3341666667	0.3183666667	0.3285666667	0.3262666667	0.3750666667	0.3203666667	-0.005233333333	-0.005033333333	-0.004633333333	-0.003933333333	-0.003033333333	-0.003533333333	-0.003633333333	-0.005133333333	-0.006833333333
16	0.3465666667	0.3529666667	0.3814666667	0.4526666667	0.4549666667	0.4299666667	0.5254666667	0.4250666667	0.4451666667	0.4023666667	0.4180666667	0.4734666667	0.4904666667	0.4530666667	0.3644666667	0.4434666667	0.4084666667	0.4244666667	0.03376666667	0.03796666667	0.04266666667	0.04596666667	0.04396666667	0.04156666667	0.03606666667	0.03856666667	0.03756666667	0.05036666667	0.04986666667	0.04886666667	0.04436666667	0.04646666667	0.04276666667	0.03986666667	0.03886666667	0.03916666667	0.4031666667	0.4277666667	0.4122666667	0.4209666667	0.4129666667	0.4180666667	0.3598666667	0.3673666667	0.3634666667	-0.005233333333	-0.005033333333	-0.004633333333	-0.003933333333	-0.003033333333	-0.003533333333	-0.003633333333	-0.005133333333	-0.006833333333
19	0.3781666667	0.4357666667	0.4300666667	0.5110666667	0.5410666667	0.5496666667	0.4859666667	0.5127666667	0.5110666667	0.4657666667	0.4766666667	0.5011666667	0.4986666667	0.5447666667	0.5697666667	0.5444666667	0.5211666667	0.4912666667	0.03376666667	0.03796666667	0.04266666667	0.04596666667	0.04396666667	0.04156666667	0.03606666667	0.03856666667	0.03756666667	0.05036666667	0.04986666667	0.04886666667	0.04436666667	0.04646666667	0.04276666667	0.03986666667	0.03886666667	0.03916666667	0.5145666667	0.5200666667	0.5063666667	0.5061666667	0.4822666667	0.4302666667	0.5321666667	0.4817666667	0.4873666667	-0.005233333333	-0.005033333333	-0.004633333333	-0.003933333333	-0.003033333333	-0.003533333333	-0.003633333333	-0.005133333333	-0.006833333333
21	0.4348333333	0.4499333333	0.4593333333	0.5308333333	0.5016333333	0.5111333333	0.5117333333	0.4750333333	0.5389333333	0.4969	0.5083	0.5581	0.5554	0.5673	0.5576	0.5798	0.5627	0.5127	0.0345	0.0333	0.0323	0.0426	0.042	0.0425	0.0295	0.0258	0.0282	0.0491	0.0506	0.0516	0.0408	0.0457	0.0454	0.0361	0.0326	0.041	0.566	0.541	0.5256	0.5131	0.4952	0.456	0.5371	0.5414	0.5063	0.019	-0.0064	-0.0067	-0.011	-0.0104	-0.0049	-0.0057	0.0012	-0.0068
22	0.4584333333	0.5401333333	0.5471333333	0.4584333333	0.5401333333	0.5471333333	0.4584333333	0.5401333333	0.5471333333	0.5216	0.5451	0.5351	0.5216	0.5451	0.5351	0.5216	0.5451	0.5351	0.0345	0.0333	0.0323	0.0426	0.042	0.0425	0.0295	0.0258	0.0282	0.0491	0.0506	0.0516	0.0408	0.0457	0.0454	0.0361	0.0326	0.041	0.5234	0.4743	0.5251	0.5234	0.4743	0.5251	0.5234	0.4743	0.5251	0.019	-0.0064	-0.0067	-0.011	-0.0104	-0.0049	-0.0057	0.0012	-0.0068
23	0.5034333333	0.5802333333	0.5439333333	0.5034333333	0.5802333333	0.5439333333	0.5034333333	0.5802333333	0.5439333333	0.6087	0.5938	0.6647	0.6087	0.5938	0.6647	0.6087	0.5938	0.6647	0.0345	0.0333	0.0323	0.0426	0.042	0.0425	0.0295	0.0258	0.0282	0.0491	0.0506	0.0516	0.0408	0.0457	0.0454	0.0361	0.0326	0.041	0.5207	0.5851	0.5799	0.5207	0.5851	0.5799	0.5207	0.5851	0.5799	0.019	-0.0064	-0.0067	-0.011	-0.0104	-0.0049	-0.0057	0.0012	-0.0068
26	0.4757333333	0.5449333333	0.5159333333	0.4757333333	0.5449333333	0.5159333333	0.4757333333	0.5449333333	0.5159333333	0.4881	0.5174	0.5163	0.4881	0.5174	0.5163	0.4881	0.5174	0.5163	0.0345	0.0333	0.0323	0.0426	0.042	0.0425	0.0295	0.0258	0.0282	0.0491	0.0506	0.0516	0.0408	0.0457	0.0454	0.0361	0.0326	0.041	0.5007	0.4786	0.5243	0.5007	0.4786	0.5243	0.5007	0.4786	0.5243	0.019	-0.0064	-0.0067	-0.011	-0.0104	-0.0049	-0.0057	0.0012	-0.0068
